time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),dew_point_2m (°C),cloud_cover (%),wind_speed_10m (km/h),wind_gusts_10m (km/h),surface_pressure (hPa),precipitation (mm),rain (mm),et0_fao_evapotranspiration (mm),timestamp_weather,timestamp_utc,timestamp_hour,timestamp_load,delhi_load,brpl_load,bypl_load,ndpl_load,ndmc_load,mes_load,data_source,timestamp,hour,day_of_week,month,is_weekend,is_summer,is_monsoon,is_winter,is_morning_peak,is_evening_peak,is_peak_hour,shortwave_radiation,wet_bulb_temperature_2m,direct_radiation,diffuse_radiation,cloud_cover_total,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_direction_10m,wind_direction_100m
2022-07-25T10:00,27.6,30.7,82,24.2,43,21.5,36.0,979.0,0.1,0.1,0.19,2022-07-25 10:00:00,2022-07-25 10:00:00+00:00,2022-07-25 10:00:00+00:00,2022-07-25 10:00:00+00:00,5278.03,1477.85,1161.17,950.04,633.36,422.24,simulation_realistic,2022-07-25 10:00:00,10,0,7,False,False,True,False,True,False,True,563.0,26.239365,329.0,234.0,27.0,25.0,8.0,0.0,112.30626,112.38018
2022-07-25T11:00,29.1,31.6,75,24.1,38,24.7,43.2,979.2,0.1,0.1,0.33,2022-07-25 11:00:00,2022-07-25 11:00:00+00:00,2022-07-25 11:00:00+00:00,2022-07-25 11:00:00+00:00,5363.34,1501.74,1179.94,965.4,643.6,429.07,simulation_realistic,2022-07-25 11:00:00,11,0,7,False,False,True,False,False,False,False,443.0,26.130081,253.0,190.0,22.0,19.0,7.0,2.0,107.52566,106.699326
2022-07-25T12:00,30.2,33.6,71,24.3,31,22.0,44.6,979.4,0.1,0.1,0.45,2022-07-25 12:00:00,2022-07-25 12:00:00+00:00,2022-07-25 12:00:00+00:00,2022-07-25 12:00:00+00:00,4890.91,1369.45,1076.0,880.36,586.91,391.27,simulation_realistic,2022-07-25 12:00:00,12,0,7,False,False,True,False,False,False,False,277.0,25.62785,139.0,138.0,46.0,29.0,63.0,0.0,85.4861,86.87794
2022-07-25T13:00,31.2,35.2,67,24.3,29,20.1,42.5,979.1,0.0,0.0,0.52,2022-07-25 13:00:00,2022-07-25 13:00:00+00:00,2022-07-25 13:00:00+00:00,2022-07-25 13:00:00+00:00,5802.42,1624.68,1276.53,1044.44,696.29,464.19,simulation_realistic,2022-07-25 13:00:00,13,0,7,False,False,True,False,False,False,False,84.0,25.774792,19.0,65.0,56.0,23.0,40.0,10.0,137.12111,125.537766
2022-07-25T14:00,31.5,35.4,65,24.1,31,20.3,37.1,978.6,0.2,0.2,0.54,2022-07-25 14:00:00,2022-07-25 14:00:00+00:00,2022-07-25 14:00:00+00:00,2022-07-25 14:00:00+00:00,4995.91,1398.85,1099.1,899.26,599.51,399.67,simulation_realistic,2022-07-25 14:00:00,14,0,7,False,False,True,False,False,False,False,15.0,25.711344,1.0,14.0,25.0,1.0,10.0,16.0,131.63345,123.17853
2022-07-25T15:00,32.5,36.9,61,24.0,25,18.7,37.4,977.6,0.1,0.1,0.61,2022-07-25 15:00:00,2022-07-25 15:00:00+00:00,2022-07-25 15:00:00+00:00,2022-07-25 15:00:00+00:00,5489.19,1536.97,1207.62,988.05,658.7,439.13,simulation_realistic,2022-07-25 15:00:00,15,0,7,False,False,True,False,False,False,False,0.0,25.539886,0.0,0.0,24.0,1.0,18.0,8.0,111.16133,113.962494
2022-07-25T16:00,32.7,36.9,59,23.8,31,17.1,34.9,976.4,0.1,0.1,0.57,2022-07-25 16:00:00,2022-07-25 16:00:00+00:00,2022-07-25 16:00:00+00:00,2022-07-25 16:00:00+00:00,5005.12,1401.43,1101.13,900.92,600.61,400.41,simulation_realistic,2022-07-25 16:00:00,16,0,7,False,False,True,False,False,False,False,0.0,25.366596,0.0,0.0,45.0,25.0,19.0,21.0,108.970505,112.1664
2022-07-25T17:00,32.6,36.4,59,23.7,27,15.2,31.7,975.8,0.1,0.1,0.48,2022-07-25 17:00:00,2022-07-25 17:00:00+00:00,2022-07-25 17:00:00+00:00,2022-07-25 17:00:00+00:00,4769.01,1335.32,1049.18,858.42,572.28,381.52,simulation_realistic,2022-07-25 17:00:00,17,0,7,False,False,True,False,False,False,False,0.0,25.4394,0.0,0.0,27.0,5.0,11.0,19.0,115.11481,119.14798
2022-07-25T18:00,32.5,36.2,60,23.6,22,14.3,28.4,975.2,0.1,0.1,0.39,2022-07-25 18:00:00,2022-07-25 18:00:00+00:00,2022-07-25 18:00:00+00:00,2022-07-25 18:00:00+00:00,3425.05,959.02,753.51,616.51,411.01,274.0,simulation_realistic,2022-07-25 18:00:00,18,0,7,False,False,True,False,False,True,True,0.0,25.237007,0.0,0.0,3.0,1.0,0.0,3.0,114.90474,117.05052
2022-07-25T19:00,31.3,35.0,63,23.4,46,13.7,25.9,976.0,0.0,0.0,0.27,2022-07-25 19:00:00,2022-07-25 19:00:00+00:00,2022-07-25 19:00:00+00:00,2022-07-25 19:00:00+00:00,3307.07,925.98,727.55,595.27,396.85,264.57,simulation_realistic,2022-07-25 19:00:00,19,0,7,False,False,True,False,False,True,True,0.0,24.93805,0.0,0.0,10.0,1.0,0.0,8.0,108.970505,110.67451
2022-07-25T20:00,30.1,35.3,71,24.2,56,6.9,23.0,976.9,0.0,0.0,0.1,2022-07-25 20:00:00,2022-07-25 20:00:00+00:00,2022-07-25 20:00:00+00:00,2022-07-25 20:00:00+00:00,2708.96,758.51,595.97,487.61,325.08,216.72,simulation_realistic,2022-07-25 20:00:00,20,0,7,False,False,True,False,False,True,True,0.0,24.565058,0.0,0.0,6.0,6.0,0.0,0.0,108.970505,111.03758
2022-07-25T21:00,29.2,34.9,76,24.5,25,4.3,11.2,977.4,0.0,0.0,0.04,2022-07-25 21:00:00,2022-07-25 21:00:00+00:00,2022-07-25 21:00:00+00:00,2022-07-25 21:00:00+00:00,2526.54,707.43,555.84,454.78,303.18,202.12,simulation_realistic,2022-07-25 21:00:00,21,0,7,False,False,True,False,False,True,True,0.0,24.27845,0.0,0.0,23.0,16.0,0.0,9.0,100.30479,104.5345
2022-07-25T22:00,28.6,33.2,79,24.5,24,12.0,19.1,978.6,0.0,0.0,0.04,2022-07-25 22:00:00,2022-07-25 22:00:00+00:00,2022-07-25 22:00:00+00:00,2022-07-25 22:00:00+00:00,1983.73,555.44,436.42,357.07,238.05,158.7,simulation_realistic,2022-07-25 22:00:00,22,0,7,False,False,True,False,False,False,False,0.0,24.103899,0.0,0.0,80.0,72.0,15.0,14.0,97.907074,100.738846
2022-07-25T23:00,27.8,32.5,82,24.5,45,12.2,19.4,979.5,0.0,0.0,0.03,2022-07-25 23:00:00,2022-07-25 23:00:00+00:00,2022-07-25 23:00:00+00:00,2022-07-25 23:00:00+00:00,1655.68,463.59,364.25,298.02,198.68,132.45,simulation_realistic,2022-07-25 23:00:00,23,0,7,False,False,True,False,False,False,False,0.0,24.103899,0.0,0.0,99.0,29.0,11.0,98.0,98.13002,101.113
2022-07-26T00:00,27.4,32.2,85,24.8,27,12.7,21.6,979.8,0.0,0.0,0.02,2022-07-26 00:00:00,2022-07-26 00:00:00+00:00,2022-07-26 00:00:00+00:00,2022-07-26 00:00:00+00:00,1872.36,524.26,411.92,337.02,224.68,149.79,simulation_realistic,2022-07-26 00:00:00,0,1,7,False,False,True,False,False,False,False,0.0,24.477072,0.0,0.0,100.0,47.0,10.0,70.0,93.366394,96.340096
2022-07-26T01:00,26.9,31.8,88,24.7,3,11.1,20.9,979.9,0.0,0.0,0.01,2022-07-26 01:00:00,2022-07-26 01:00:00+00:00,2022-07-26 01:00:00+00:00,2022-07-26 01:00:00+00:00,2022.94,566.42,445.05,364.13,242.75,161.84,simulation_realistic,2022-07-26 01:00:00,1,1,7,False,False,True,False,False,False,False,21.0,24.407642,2.0,19.0,62.0,49.0,27.0,4.0,95.07952,96.441505
2022-07-26T02:00,26.5,31.1,89,24.4,10,12.2,19.8,980.0,0.0,0.0,0.01,2022-07-26 02:00:00,2022-07-26 02:00:00+00:00,2022-07-26 02:00:00+00:00,2022-07-26 02:00:00+00:00,1969.11,551.35,433.2,354.44,236.29,157.53,simulation_realistic,2022-07-26 02:00:00,2,1,7,False,False,True,False,False,False,False,109.0,24.420403,26.0,83.0,100.0,100.0,13.0,0.0,104.62092,104.697365
2022-07-26T03:00,26.0,30.4,89,24.1,6,12.2,20.5,979.6,0.0,0.0,0.01,2022-07-26 03:00:00,2022-07-26 03:00:00+00:00,2022-07-26 03:00:00+00:00,2022-07-26 03:00:00+00:00,2573.66,720.62,566.2,463.26,308.84,205.89,simulation_realistic,2022-07-26 03:00:00,3,1,7,False,False,True,False,False,False,False,229.0,24.678457,75.0,154.0,48.0,36.0,27.0,0.0,112.4428,112.28564
2022-07-26T04:00,25.6,29.8,90,23.8,23,12.1,19.8,979.4,0.0,0.0,0.01,2022-07-26 04:00:00,2022-07-26 04:00:00+00:00,2022-07-26 04:00:00+00:00,2022-07-26 04:00:00+00:00,3088.81,864.87,679.54,555.99,370.66,247.11,simulation_realistic,2022-07-26 04:00:00,4,1,7,False,False,True,False,False,False,False,409.0,25.261112,200.0,209.0,76.0,76.0,4.0,0.0,112.24908,112.47948
2022-07-26T05:00,25.4,29.4,90,23.7,80,13.1,21.6,979.0,0.0,0.0,0.01,2022-07-26 05:00:00,2022-07-26 05:00:00+00:00,2022-07-26 05:00:00+00:00,2022-07-26 05:00:00+00:00,3506.72,981.88,771.48,631.21,420.81,280.54,simulation_realistic,2022-07-26 05:00:00,5,1,7,False,False,True,False,False,False,False,424.0,25.484406,130.0,294.0,100.0,100.0,6.0,0.0,116.02953,116.56499
2022-07-26T06:00,25.4,29.4,90,23.7,99,12.7,22.0,979.2,0.0,0.0,0.01,2022-07-26 06:00:00,2022-07-26 06:00:00+00:00,2022-07-26 06:00:00+00:00,2022-07-26 06:00:00+00:00,4141.89,1159.73,911.22,745.54,497.03,331.35,simulation_realistic,2022-07-26 06:00:00,6,1,7,False,False,True,False,False,False,False,234.0,24.91492,24.0,210.0,71.0,51.0,56.0,0.0,110.28265,111.960625
2022-07-26T07:00,25.7,30.0,91,24.1,100,12.3,20.9,979.2,0.0,0.0,0.01,2022-07-26 07:00:00,2022-07-26 07:00:00+00:00,2022-07-26 07:00:00+00:00,2022-07-26 07:00:00+00:00,4679.26,1310.19,1029.44,842.27,561.51,374.34,simulation_realistic,2022-07-26 07:00:00,7,1,7,False,False,True,False,False,False,False,598.0,25.78152,275.0,323.0,41.0,30.0,25.0,0.0,123.07069,123.45334
2022-07-26T08:00,26.1,29.7,87,23.8,62,16.3,27.7,979.6,0.0,0.0,0.05,2022-07-26 08:00:00,2022-07-26 08:00:00+00:00,2022-07-26 08:00:00+00:00,2022-07-26 08:00:00+00:00,5176.74,1449.49,1138.88,931.81,621.21,414.14,simulation_realistic,2022-07-26 08:00:00,8,1,7,False,False,True,False,True,False,True,683.0,26.635487,429.0,254.0,35.0,22.0,17.0,4.0,120.76265,121.42951
2022-07-26T09:00,26.6,30.0,84,23.7,100,17.1,29.2,980.0,0.1,0.1,0.1,2022-07-26 09:00:00,2022-07-26 09:00:00+00:00,2022-07-26 09:00:00+00:00,2022-07-26 09:00:00+00:00,5662.33,1585.45,1245.71,1019.22,679.48,452.99,simulation_realistic,2022-07-26 09:00:00,9,1,7,False,False,True,False,True,False,True,724.0,26.129604,453.0,271.0,31.0,5.0,19.0,11.0,136.5911,135.0001
2022-07-26T10:00,27.1,30.5,82,23.8,48,17.9,33.1,980.6,0.1,0.1,0.18,2022-07-26 10:00:00,2022-07-26 10:00:00+00:00,2022-07-26 10:00:00+00:00,2022-07-26 10:00:00+00:00,5267.65,1474.94,1158.88,948.18,632.12,421.41,simulation_realistic,2022-07-26 10:00:00,10,1,7,False,False,True,False,True,False,True,540.0,26.207645,331.0,209.0,52.0,15.0,8.0,40.0,119.05451,119.4758
2022-07-26T11:00,28.3,32.0,78,24.2,76,17.1,34.9,980.7,0.0,0.0,0.3,2022-07-26 11:00:00,2022-07-26 11:00:00+00:00,2022-07-26 11:00:00+00:00,2022-07-26 11:00:00+00:00,5142.79,1439.98,1131.41,925.7,617.14,411.42,simulation_realistic,2022-07-26 11:00:00,11,1,7,False,False,True,False,False,False,False,443.0,26.230295,254.0,189.0,46.0,21.0,7.0,30.0,112.067955,112.61991
2022-07-26T12:00,29.3,32.9,73,24.1,100,17.2,34.6,980.5,0.0,0.0,0.34,2022-07-26 12:00:00,2022-07-26 12:00:00+00:00,2022-07-26 12:00:00+00:00,2022-07-26 12:00:00+00:00,5308.73,1486.45,1167.92,955.57,637.05,424.7,simulation_realistic,2022-07-26 12:00:00,12,1,7,False,False,True,False,False,False,False,262.0,25.820736,124.0,138.0,84.0,17.0,5.0,4.0,121.50421,122.38066
2022-07-26T13:00,28.4,31.7,75,23.6,71,17.7,33.8,980.5,0.6,0.6,0.22,2022-07-26 13:00:00,2022-07-26 13:00:00+00:00,2022-07-26 13:00:00+00:00,2022-07-26 13:00:00+00:00,5553.78,1555.06,1221.83,999.68,666.45,444.3,simulation_realistic,2022-07-26 13:00:00,13,1,7,False,False,True,False,False,False,False,118.0,25.949026,36.0,82.0,16.0,5.0,2.0,10.0,121.75944,122.15227
2022-07-26T14:00,29.9,33.7,72,24.3,41,18.5,36.0,979.7,0.2,0.2,0.45,2022-07-26 14:00:00,2022-07-26 14:00:00+00:00,2022-07-26 14:00:00+00:00,2022-07-26 14:00:00+00:00,4937.02,1382.37,1086.15,888.66,592.44,394.96,simulation_realistic,2022-07-26 14:00:00,14,1,7,False,False,True,False,False,False,False,18.0,25.53688,2.0,16.0,25.0,5.0,2.0,20.0,115.55992,115.01686
2022-07-26T15:00,30.7,35.7,72,25.2,35,17.6,36.7,978.7,0.2,0.2,0.51,2022-07-26 15:00:00,2022-07-26 15:00:00+00:00,2022-07-26 15:00:00+00:00,2022-07-26 15:00:00+00:00,5625.17,1575.05,1237.54,1012.53,675.02,450.01,simulation_realistic,2022-07-26 15:00:00,15,1,7,False,False,True,False,False,False,False,0.0,25.210766,0.0,0.0,61.0,4.0,2.0,58.0,119.98155,119.24873
2022-07-26T16:00,30.9,35.4,68,24.3,31,18.3,37.4,977.8,0.1,0.1,0.54,2022-07-26 16:00:00,2022-07-26 16:00:00+00:00,2022-07-26 16:00:00+00:00,2022-07-26 16:00:00+00:00,4667.33,1306.85,1026.81,840.12,560.08,373.39,simulation_realistic,2022-07-26 16:00:00,16,1,7,False,False,True,False,False,False,False,0.0,24.997107,0.0,0.0,55.0,3.0,5.0,51.0,120.65059,124.21575
2022-07-26T17:00,31.1,35.2,68,24.4,52,14.8,34.6,976.7,0.1,0.1,0.43,2022-07-26 17:00:00,2022-07-26 17:00:00+00:00,2022-07-26 17:00:00+00:00,2022-07-26 17:00:00+00:00,3903.03,1092.85,858.67,702.55,468.36,312.24,simulation_realistic,2022-07-26 17:00:00,17,1,7,False,False,True,False,False,False,False,0.0,24.988346,0.0,0.0,100.0,1.0,3.0,100.0,111.44781,117.40749
2022-07-26T18:00,31.6,35.7,65,24.2,46,14.4,29.2,976.2,0.0,0.0,0.37,2022-07-26 18:00:00,2022-07-26 18:00:00+00:00,2022-07-26 18:00:00+00:00,2022-07-26 18:00:00+00:00,4290.38,1201.31,943.88,772.27,514.85,343.23,simulation_realistic,2022-07-26 18:00:00,18,1,7,False,False,True,False,False,True,True,0.0,25.070679,0.0,0.0,100.0,5.0,8.0,99.0,115.70991,117.89718
2022-07-26T19:00,31.0,35.0,66,23.8,84,13.1,26.6,976.6,0.1,0.1,0.25,2022-07-26 19:00:00,2022-07-26 19:00:00+00:00,2022-07-26 19:00:00+00:00,2022-07-26 19:00:00+00:00,3173.25,888.51,698.11,571.18,380.79,253.86,simulation_realistic,2022-07-26 19:00:00,19,1,7,False,False,True,False,False,True,True,0.0,25.052578,0.0,0.0,100.0,18.0,11.0,100.0,122.27562,126.384445
2022-07-26T20:00,30.3,35.3,70,24.3,16,8.9,22.0,977.0,0.0,0.0,0.13,2022-07-26 20:00:00,2022-07-26 20:00:00+00:00,2022-07-26 20:00:00+00:00,2022-07-26 20:00:00+00:00,2847.76,797.37,626.51,512.6,341.73,227.82,simulation_realistic,2022-07-26 20:00:00,20,1,7,False,False,True,False,False,True,True,0.0,25.0441,0.0,0.0,35.0,13.0,21.0,12.0,115.70991,122.79953
2022-07-26T21:00,29.3,34.1,74,24.2,25,9.2,14.4,977.8,0.0,0.0,0.06,2022-07-26 21:00:00,2022-07-26 21:00:00+00:00,2022-07-26 21:00:00+00:00,2022-07-26 21:00:00+00:00,2232.36,625.06,491.12,401.82,267.88,178.59,simulation_realistic,2022-07-26 21:00:00,21,1,7,False,False,True,False,False,True,True,0.0,24.514513,0.0,0.0,92.0,21.0,8.0,89.0,119.357666,121.79887
2022-07-26T22:00,28.6,33.1,76,24.0,61,10.8,17.3,978.4,0.0,0.0,0.04,2022-07-26 22:00:00,2022-07-26 22:00:00+00:00,2022-07-26 22:00:00+00:00,2022-07-26 22:00:00+00:00,2200.88,616.25,484.19,396.16,264.11,176.07,simulation_realistic,2022-07-26 22:00:00,22,1,7,False,False,True,False,False,False,False,0.0,24.555584,0.0,0.0,93.0,21.0,18.0,90.0,128.36752,131.90585
2022-07-26T23:00,28.1,32.5,78,23.9,55,11.3,18.0,978.9,0.0,0.0,0.03,2022-07-26 23:00:00,2022-07-26 23:00:00+00:00,2022-07-26 23:00:00+00:00,2022-07-26 23:00:00+00:00,1964.07,549.94,432.1,353.53,235.69,157.13,simulation_realistic,2022-07-26 23:00:00,23,1,7,False,False,True,False,False,False,False,0.0,24.45563,0.0,0.0,96.0,16.0,9.0,95.0,82.14678,90.0
2022-07-27T00:00,28.0,32.4,79,23.9,100,10.8,18.0,979.2,0.0,0.0,0.03,2022-07-27 00:00:00,2022-07-27 00:00:00+00:00,2022-07-27 00:00:00+00:00,2022-07-27 00:00:00+00:00,2012.66,563.55,442.79,362.28,241.52,161.01,simulation_realistic,2022-07-27 00:00:00,0,2,7,False,False,True,False,False,False,False,0.0,24.763601,0.0,0.0,100.0,54.0,8.0,97.0,117.75845,120.256355
2022-07-27T01:00,27.8,32.4,81,24.1,100,10.8,18.4,979.1,0.0,0.0,0.03,2022-07-27 01:00:00,2022-07-27 01:00:00+00:00,2022-07-27 01:00:00+00:00,2022-07-27 01:00:00+00:00,2008.2,562.29,441.8,361.48,240.98,160.66,simulation_realistic,2022-07-27 01:00:00,1,2,7,False,False,True,False,False,False,False,17.0,24.95077,1.0,16.0,100.0,18.0,4.0,100.0,110.77233,113.70266
2022-07-27T02:00,27.3,32.4,83,24.3,100,8.1,17.3,979.1,0.0,0.0,0.01,2022-07-27 02:00:00,2022-07-27 02:00:00+00:00,2022-07-27 02:00:00+00:00,2022-07-27 02:00:00+00:00,1853.49,518.98,407.77,333.63,222.42,148.28,simulation_realistic,2022-07-27 02:00:00,2,2,7,False,False,True,False,False,False,False,122.0,25.153017,29.0,93.0,100.0,20.0,0.0,100.0,109.440125,108.8248
2022-07-27T03:00,27.0,31.8,85,24.4,35,10.8,16.2,978.8,0.1,0.1,0.02,2022-07-27 03:00:00,2022-07-27 03:00:00+00:00,2022-07-27 03:00:00+00:00,2022-07-27 03:00:00+00:00,2659.31,744.61,585.05,478.68,319.12,212.75,simulation_realistic,2022-07-27 03:00:00,3,2,7,False,False,True,False,False,False,False,270.0,25.366596,95.0,175.0,100.0,22.0,7.0,100.0,107.10281,107.41806
2022-07-27T04:00,25.7,29.9,91,24.1,92,13.2,27.4,978.6,0.7,0.7,0.01,2022-07-27 04:00:00,2022-07-27 04:00:00+00:00,2022-07-27 04:00:00+00:00,2022-07-27 04:00:00+00:00,2613.76,731.85,575.03,470.48,313.65,209.1,simulation_realistic,2022-07-27 04:00:00,4,2,7,False,False,True,False,False,False,False,340.0,25.542067,109.0,231.0,100.0,40.0,10.0,100.0,119.57774,119.357666
2022-07-27T05:00,25.4,30.0,94,24.3,93,11.0,20.9,978.1,0.1,0.1,0.0,2022-07-27 05:00:00,2022-07-27 05:00:00+00:00,2022-07-27 05:00:00+00:00,2022-07-27 05:00:00+00:00,3484.43,975.64,766.57,627.2,418.13,278.75,simulation_realistic,2022-07-27 05:00:00,5,2,7,False,False,True,False,False,False,False,492.0,26.089258,183.0,309.0,100.0,100.0,11.0,72.0,124.43905,124.286934
2022-07-27T06:00,25.3,29.9,94,24.2,96,10.5,19.4,977.9,0.1,0.1,0.0,2022-07-27 06:00:00,2022-07-27 06:00:00+00:00,2022-07-27 06:00:00+00:00,2022-07-27 06:00:00+00:00,4130.42,1156.52,908.69,743.48,495.65,330.43,simulation_realistic,2022-07-27 06:00:00,6,2,7,False,False,True,False,False,False,False,498.0,26.204264,153.0,345.0,100.0,100.0,9.0,98.0,125.70678,125.27251
2022-07-27T07:00,25.9,31.1,91,24.4,100,7.7,16.9,978.1,0.0,0.0,0.0,2022-07-27 07:00:00,2022-07-27 07:00:00+00:00,2022-07-27 07:00:00+00:00,2022-07-27 07:00:00+00:00,4506.09,1261.7,991.34,811.1,540.73,360.49,simulation_realistic,2022-07-27 07:00:00,7,2,7,False,False,True,False,False,False,False,333.0,25.959682,38.0,295.0,90.0,16.0,24.0,85.0,119.197395,119.604355
2022-07-27T08:00,26.5,31.3,88,24.4,100,11.2,19.1,979.0,0.0,0.0,0.04,2022-07-27 08:00:00,2022-07-27 08:00:00+00:00,2022-07-27 08:00:00+00:00,2022-07-27 08:00:00+00:00,4634.61,1297.69,1019.62,834.23,556.15,370.77,simulation_realistic,2022-07-27 08:00:00,8,2,7,False,False,True,False,True,False,True,669.0,26.31591,344.0,325.0,44.0,29.0,12.0,10.0,128.08882,127.45065
2022-07-27T09:00,27.0,31.6,86,24.5,100,13.0,23.4,979.7,0.0,0.0,0.1,2022-07-27 09:00:00,2022-07-27 09:00:00+00:00,2022-07-27 09:00:00+00:00,2022-07-27 09:00:00+00:00,5327.93,1491.82,1172.15,959.03,639.35,426.23,simulation_realistic,2022-07-27 09:00:00,9,2,7,False,False,True,False,True,False,True,642.0,26.569487,374.0,268.0,35.0,18.0,7.0,16.0,131.30852,130.71075
2022-07-27T10:00,27.8,32.1,82,24.5,100,14.7,27.7,980.0,0.0,0.0,0.2,2022-07-27 10:00:00,2022-07-27 10:00:00+00:00,2022-07-27 10:00:00+00:00,2022-07-27 10:00:00+00:00,4987.89,1396.61,1097.34,897.82,598.55,399.03,simulation_realistic,2022-07-27 10:00:00,10,2,7,False,False,True,False,True,False,True,590.0,26.559177,354.0,236.0,93.0,29.0,6.0,90.0,128.65984,129.2072
